,Clue,Answer,Explanation
7857,Complain over nothing left for workers’ share (7),CARPOOL,"Definition: workers’ share
CARP [complain] O [over] O [nothing] L [left]
"
7858,"Having answer, engage in attempt to win, losing in this programme? (4,4)",GAME SHOW,"Definition: programme
A [answer] + MESH [engage] in GO [attempt] + W[in]  losing ‘in’
"
7859,"Ahead of strike, navy issue coarse stuff (7)",GROGRAM,"Definition: coarse stuff
GROG [navy rum ration] + RAM [strike]  – I’m more familiar with ‘grosgrain’ but I’ve seen this spelling in crosswords before and the cluing is quite clear
"
7860,"Led soak to reform in office lunch? (2,5)",AL DESKO,"Definition: office lunch?
Anagram [to reform] of LED SOAK – I didn’t know this expression but it made me smile and it’s a great surface
"
7861,"Handled shirt, covered in regular pattern all round (6)",TITLED,"Definition: Handled
TILED [covered in regular pattern] round T [shirt] – a cryptic definition, ‘having a handle’, slang for name
"
7862,"Brief time made even briefer in power, say (3,8)",FOR INSTANCE,"Definition: say
INSTAN[t] [brief time, made briefer] in FORCE [power]
"
7863,Saturate with pressure before eating food (8),PERMEATE,"Definition: Saturate
P [pressure] + ERE [before] round MEAT [food]
"
7864,Back in Derbyshire on Snake Pass? (6),ELAPSE,"Definition: Pass
I tried, unsuccessfully, of course, to shoehorn ASP [I’ve recently been to see ‘Antony and Cleopatra’ at Stratford] in somehow – I  think it’s [derbyshir]E + LAPSE = snake, both  as verbs, meaning to glide – great surface, since Snake Pass is in the Derbyshire Peak District *Edit, thanks to Dis @2: ELAPS is a genus of snake – it makes ‘on’ mean ‘coming after’, rather than before, which had bothered me*
"
7865,Only let out to act as senior servant (6),BUTTLE,"Definition: act as senior servant
BUT [only] + an anagram [out] of LET – I’ve only ever heard this word used whimsically: my Collins doesn’t have it but Chambers does, as ‘facetious’
"
7866,"For Armstrong, it’s Aldrin that takes the strain (8)",COLANDER,"Definition: that takes the strain
Armstrong and Aldrin were CO-LANDERs on the moon: once I had L?N I suspected misdirection and spent some time trying to fit LANCE in

**Down**
"
7867,Joke with a lady? (4),GAGA,"Definition: lady
GAG [joke] + A
"
7868,"Theft, once taxmen go in fast (6)",PIRACY,"Definition: Theft
IR [Inland Revenue, ‘old taxmen’ – now called HM Revenue and Customs] in PACY [fast]
"
7869,Urged on wild bear (7),UNDERGO,"Definition: bear
Anagram [wild] of URGED ON
"
7870,"Major in a law degree, not the usual (8)",ABNORMAL,"Definition: not the usual
NORMA [Major] in A B.L [a law degree]
"
7871,"Starry trio after gold is on mad race (6,4)",ORION’S BELT,"Definition: Starry trio
OR [gold] + an anagram [mad] of IS ON + BELT [race]
"
7872,"As solver, sound hesitant to get into second-rate stuff (8)",SHERLOCK,"Definition: As solver
ER [sound hesitant] in SHLOCK [second-rate stuff]
"
7873,Sound stimulus for prince (6),PHILIP,"Definition: prince
Sounds like ‘fillip’ [stimulus]
"
7874,"For such artillery, protection at the front involves good earthwork (3,6)",BIG BERTHA,"Definition: For such artillery
BIB [protection at front] round G [good] + an anagram [work] of EARTH
"
7875,OK to run off with current partner (10),LEGITIMATE,"Definition: OK
LEG IT [run off] + I [current] + MATE – I’ve seen LEG IT for ‘run off’ several times and I liked this extended version
"
7876,Wield axe round repetitively rhymed lines (8),RONDEAUX,"Definition: repetitively rhymed lines
Anagram [wield] of AXE ROUND
"
7877,Toughened Queen of the French up (8),ANNEALED,"Definition: Toughened
ANNE [dead Queen] + a reversal [up] of DE LA  [of the French]
"
7878,"across Here many condemned medieval sort of bridge (3,6)",OLD BAILEY,"Definition: Here many condemned
OLD [medieval] BAILEY [sort of bridge]
"
7879,About to leave submission for which counsel may argue (7),DEFENCE,"Definition: for which counsel may argue
DEFE[re]ENCE [submission] minus re [about]
"
7880,"Show fear, losing heart: stiff drink needed (6)",TREBLE,"Definition: stiff drink needed
TRE[m]BLE [show fear]
"
7881,"Face problems, any number intruding on one (4)",ACNE,"Definition: Face problems
N [indefinite / any number] in ACE [one]
"
7882,Check incomplete caste mark (4),STEM,"Definition: Check
Hidden in caSTE Mark
"
7883,"Value trial — I try out computer-generated oxymoron? (7,7)9",VIRTUAL REALITY,"Definition: computer-generated oxymoron
Anagram [out] of VALUE TRIAL I TRY
"
7884,More resentful about journalist splitting screen (7),REREDOS,"Definition: screen
A reversal [about] of SORER [more resentful] round [split by] ED [journalist]
"
7885,Support for fight not starting on time (7),TRESTLE,"Definition: Support
T [time] + [w]RESTLE [fight not starting]
"
7886,"One expressing grief half-heartedly, judge-like? (5)",SOBER,"Definition: judge-like
SOB[b]ER [one expressing grief minus one of its middle letters – half-heartedly] – reference to the saying ‘sober as a judge’
"
7887,German island is transported by musical effects (9),GLISSANDI,"Definition: musical effects
G [German] + an anagram [transported] of ISLAND IS
"
7888,"Run, absorbing dreadful rot into female body (9)",MATRONAGE,"Definition: female body
MANAGE [run] round an anagram [dreadful] of ROT – a word I hadn’t come across before but totally feasible and impeccably and straightforwardly clued
"
7889,Gather for a service (5),AMASS,"Definition: Gather
A MASS [a service] – I wouldn’t like to have to guess how often I’ve seen this
"
7890,Brass secured by Hercules’ return (5),LUCRE,"Definition: Brass
Hidden reversal [return] in hERCULes – brass being a slang word for money
"
7891,"Tack on, holding woman back from arrest (9)",APPREHEND,"Definition: arrest
APPEND [tack on] round a reversal [back] of HER [woman]
"
7892,Unique device for returning culture to nameless country (9),TRADEMARK,"Definition: Unique device
A reversal [returning] of ART [culture] + DE[n]MARK [country minus n [name}]
"
7893,Type of pop provided by band is corny (5),DISCO,"Definition: Type of pop
Hidden in banD IS COrny
"
7894,"3 Slowcoach, tedious and fat, overlapping (7)",DULLARD,"Definition: 3Slowcoach
DULL [tedious] + LARD [fat] with the Ls overlapping
"
7895,"Classy courtesan — Aretha? Joining Eurythmics, initially? Unlikely! (7)",HETAERA,"Definition: Classy courtesan
Anagram of ARETHA [Franklin?] + E[urythmics]: a classy and Classical  courtesan – a fascinating picture and perhaps my favourite clue
"
7896,Checking out cultural phenomenon involving swindle (14),RECONNAISSANCE,"Definition: Checking out
RENAISSANCE [cultural phenomenon] round CON [swindle]

**Down**
"
7897,"I largely restrict father, rolled up in crumpled duvet, to goal of 1 across (14)",VERISIMILITUDE,"Definition: goal of 1 across
A reversal [rolled up] of I LIMI[t] [largely restrict] SIRE [father] in an anagram [crumpled] of DUVET
"
7898,"Snack by river, a river rising (7)",RAREBIT,"Definition: Snack
A reversal [rising] of TIBER [river] + A R [a river]
"
7899,Ruined libertine’s heart captivated by whisper (9),UNDERTONE,"Definition: whisper
[lib[ERT]ine] in UNDONE [ruined]
"
7900,Turner including Indian spinach in Italian dish (7),LASAGNA,"Definition: Italian dish
LANA [Turner] round SAG [Indian spinach, also spelt ‘saag’] – I have the Italian dish cooking as I write
"
7901,Bearing round double embrace (7),ENTWINE,"Definition: embrace
ENE [East North East – bearing] round TWIN [double]
"
7902,City‘s daughter amid dregs (5),LEEDS,"Definition: City
D [daughter] in LEES [dregs]
"
7903,"Dream queen, or bird — articles about one (7)",TITANIA,"Definition: Dream queen
TIT [bird] + AN A [articles] round I [one] – the fairy queen in ‘A Midsummer Night’s Dream’
"
7904,"Change tack, accepting 500 vocals arranged by contrarian (6,8)",DEVIL’S ADVOCATE,"Definition: contrarian
DEVIATE [change tack] round D [500] + an anagram [arranged] of VOCALS
"
7905,Be soppy during operatic episode that’s given rise to funny stories (9),ANECDOTES,"Definition:  funny stories
DOTE [be soppy] in a reversal [given rise] of SCENA [operatic episode]
"
7906,C is for clot (7),CHARLIE,"Definition: Cclot
Double definition: Charlie = C in the NATO phonetic alphabet
"
7907,A combo performing in ditch (7),ABANDON,"Definition: ditch
A BAND [a combo] + ON [performing]  – another old favourite
"
7908,"19 leaves okapi bounding around church (3,4)",PAK CHOI,"Definition: 19 leaves
Anagram [bounding] of OKAPI round CH [church] – I smiled to see OKAPI, one of Crosswordland’s favourite creatures, as part of the wordplay, rather than the answer – another nice picture
"
7909,"Spain’s behind Japan, say? (7)",EASTERN,"Definition: Japan, say?
E [Spain] + ASTERN [behind] – a sllghtly dodgy definition?
"
7910,"Initially, occupational therapists are bowled over by inspiring figure  (5)",ERATO,"Definition: inspiring figure  
A reversal [bowled over] of  Occupational Therapists + ARE – Erato is the muse of lyric love poetry and she was in a puzzle I blogged just a couple of weeks ago: she does tend to appear more frequently than any of her eight sisters but then she has a more setter-friendly name
"
7911,Heavenly sign holy saints placed outside church (6),PISCES,"Definition: Heavenly sign
PI [holy – abbreviation of ‘pious’] + SS [saints] outside CE [Church of England]
"
7912,Son wept going round gym — it’s written down as a drama? (8),SCRIPTED,"Definition: written down as a drama
S [son] CRIED [wept] round PT [gym]
"
7913,Do this to get no person appearing alluring (4-2),TURN-ON,"Definition: person appearing alluring
Turn ‘on’ to get ‘no’
"
7914,"Company head goes by public transport, a north-south line (8)",BUSINESS,"Definition: Company
NESS [head] after [by] BUS [public transport] I [‘a north-south line’ – I don’t think I’ve seen that before]
"
7915,Reason you finally departed — no longer having job leading (11),EXPOSTULATE,"Definition: Reason
EX POST [no longer having job] + [yo]U + LATE [departed]
"
7916,One attempting to keep male and maiden looking fitter? (7),TRIMMER,"Definition: fitter
TRIER [one attempting] round M [male] M [maiden – in cricket]
"
7917,"One set of books introduces character in the other set, actually (2,5)",IN TRUTH,"Definition: actually
I [one] NT [New Testament – set of books] RUTH [character – and book – in the Old Testament, the other set]
"
7918,Appropriate search before baddie comes into view (11),SEQUESTRATE,"Definition: Appropriate
QUEST [search] + RAT [baddie] in SEE [view]
"
7919,I met rich crook shunning company (8),HERMITIC,"Definition: shunning company
Anagram [crook] of I MET RICH
"
7920,"Small island trader’s end, squeezed by supermarket (6)",TRESCO,"Definition: Small island
[trade]R in TESCO [supermarket] – two possible niggles for non-UK solvers in one clue
"
7921,"Reformer of church in church history, say (8)",MODIFIER,"Definition: Reformer
After going through every church reformer I’d ever heard of [it’s the five hundredth anniversary of Martin Luther’s Ninety-five Theses this year], I finally realised that Pasquale meant MODIFIER in its grammatical sense – see here 
"
7922,Wander around town in Lancashire (6),DARWEN,"Definition: town in Lancashire
Anagram [round] of WANDER

**Down**
"
7923,Any number in protests seen as fiends (6),DEMONS,"Definition: fiends
N [indefinite / any number] in DEMOS [protests]
"
7924,Copper with sort of appeal in dynamic case (10),ACCUSATIVE,"Definition: case
CU [copper] + SA [sex appeal] in ACTIVE [dynamic]
"
7925,Cloth in which artist get wrapped up — it relieves the pain (8),LINIMENT,"Definition:  it relieves the pain
A reversal [up] of [Tracey] EMIN [artist] in LINT [cloth] – I presume ‘get’ is a typo
"
7926,"Doctor is apt, going round part of hospital, to see them? (8)",PATIENTS,"Definition: them?
Anagram [doctor] of IS APT round ENT [part of hospital]
"
7927,Transformed harpies about to become like angels (8),SERAPHIC,"Definition: like angels
Anagram [transformed] of HARPIES + C [about]
"
7928,"Come down heavily, when gathering of hunters is set up (4)",TEEM,"Definition: Come down heavily
A reversal [set up] of MEET [gathering of hunters]
"
7929,Ruin in world below that’s hot (4),DISH,"Definition: Ruin
DIS [world below] + H [hot]
"
7930,A foreign revolutionary steals a bit — it’s not returned (10),UNREQUITED,"Definition: not returned
UN [a foreign] + RED [revolutionary] round QUITE [a bit]
"
7931,Dog in the role of pig or bird (8),CURASSOW,"Definition: bird
CUR AS [in the role of] SOW – I hadn’t heard of this bird but it’s worth looking at
"
7932,Curved instrument or tool that’s cut off outside (8),SHOEHORN,"Definition: Curved instrument
SHORN [cut off] round HOE [tool]
"
7933,Dogs making row in church service (8),MASTIFFS,"Definition: Dogs
TIFF [row] in MASS [church service]
"
7934,Hard deposit of two salts (6),TARTAR,"Definition: Hard deposit
TAR TAR – two salts
"
7935,Group of players briefly playing at the Olympic Stadium (4),WHAM,"Definition: Group
W[est] HAM [briefly] now play at the Olympic Stadium and WHAM were a pop duo/group – my favourite clue, I think
"
7936,Music in endless traffic (4),TRAD,"Definition: Music
TRAD[e] [traffic]
"
7937,"Wide containers, four in river (9)",EXPANSIVE,"Definition: Wide
PANS [containers] + IV [four] in EXE [river]
"
7938,Batting sides interrupted (2-3),ON-OFF,"Definition: interrupted 
Two batting sides
"
7939,"Sooner at sea, hard to be kept — away from it? (2,5)",ON SHORE,"Definition: away from it
Anagram [at sea] of SOONER round H [hard]
"
7940,More than one case exists in glens (7),VALISES,"Definition: More than one case
IS [exists] in VALES [glens]
"
7941,"Man, failure heading for extinction (4)",DUDE,"Definition: Man
DUD [failure] + E[xtinction]
"
7942,"Ornate picture frames or nothing in US territory (6,4)",PUERTO RICO,"Definition: US territory
Anagram [ornate] of PICTURE round OR  O [nothing]
"
7943,"Old song lyric contested by a number in the south of France? (4,3,5)",NICE ONE CYRIL,"Definition: Old song
Anagram [contested] of LYRIC after NICE ONE [number in the south of France] – Tottenham Hotspurs’ football song
"
7944,"Instrument, on which I produce notes, is running (10)",ORGANISING,"Definition: running
A simple charade of ORGAN [instrument] I SING [I produce notes]
"
7945,Pudding failed (4),DUFF,"Double definition
"
7946,"Argentine trained to shoot Admiral Horatio primarily, as Lord (7)",MESSIAH,"Definition: Lord
MESSI [Lionel – Argentinian trained to shoot] + A[dmiral] H[oratio]
"
7947,"In Greece, plain old folly ultimately, politician inspired by cheat no end (7)",OLYMPIA,"Definition: In Greece, plain
O [old] + Y [last letter of folly] MP [politician] in LIA[r] cheat minus its final letter
"
7948,"Relative seen from behind in codpiece, inconsolable (5)",NIECE,"Definition: Relative
Hidden reversal [seen from behind] in codpECE INconsolable
"
7949,"As soon as guards happen to fade away, that’s submission (9)",OBEDIENCE,"Definition: submission
ONCE [as soon as] round BE [happen] DIE [fade away]

**Down**
"
7950,"O for Officer? (6,2,7)",SECOND IN COMMAND,"Definition: Officer
O is the second letter of COMMAND
"
7951,"In various parts, classic tours thus restricted by passport? (8)",EPISODIC,"Definition: In various parts
EPIC [classic] round SO [thus] in ID [passport?]
"
7952,"across American saw evidence of deterioration after doing exercises, pathetic (2,3,2,5)",IN GOD WE TRUST,"Definition: American saw
RUST [evidence of deterioration] after an anagram [exercises] of DOING + WET [pathetic] – the  official motto of the United States
"
7953,"Assuming elected, hold down a cushy job (8)",SINECURE,"Definition: cushy job
SECURE [hold down] round IN [elected]
"
7954,High street retailer once seeing value in a fabric? (9),WOOLWORTH,"Definition: High street retailer once
WOOL [fabric] WORTH [value] – this doesn’t quite work for me
"
7955,"Little growth in industry initially, while privileged type stuck up (6)",BONSAI,"Definition: Little growth
A reversal [stuck up] of I[ndustry] AS [while] NOB [privileged type]
"
7956,"One in unfamiliar surroundings, as 21 5? (1,4,3,2,5)",A FISH OUT OF WATER,"Definition: One in unfamiliar surroundings
This went in immediately, from the enumeration and crossers and I was expecting some of Paul’s intricate parsing but it’s really just a straightforward definition – *Edit 15 minutes later: I’ve just realised there’s, of course, more going on here: a fish out of water has left his school! Sorry, Paul.*
"
7957,Individual club sandwiches toward the mouth? (9),DOWNRIVER,"Definition: toward the mouth
DRIVER [club] round OWN [individual] – the cryptic grammar is a bit mangled but it does work
"
7958,Buckinghamshire town upset different town in Kent (8),WENDOVER,"Definition: Buckinghamshire town
Reversal [upset] of NEW [different] + DOVER [town in Kent]
"
7959,"American sport on the rise, game not half taking over (8)",USURPING,"Definition: taking over
US [American] + a reversal [on the rise] OF RU [sport] + PING [pong – game not half]
"
7960,perhaps? One’s smoked (6),GASPER,"Definition: One’s smoked
A fish out of water might be gasping: Collins has gasper = cheap cigarette as ‘British’ [my first thought was ‘kipper’]
"
7961,Serve alcohol in a quandary — might one be 16 or 18? (6-6),SCHOOL-LEAVER,"Definition: might one be 16 or 18?
A neat anagram [in a quandary] of SERVE ALCOHOL: students in the UK usually leave school at 16 or 18
"
7962,Unconvincing verdict on reorganisation (9),CONTRIVED,"Definition: Unconvincing
Anagram [reorganisation] of VERDICT ON
"
7963,"Western sultanate’s frailty, according to Hamlet (5)",WOMAN,"Definition: frailty, according to Hamlet
W [Western] OMAN [sultanate] – ‘Frailty, thy name  is woman’, said Hamlet, speaking of his mother
"
7964,Like a great stylist Puritans love madly (9),PROUSTIAN,"Definition: Like a great stylist
Anagram [madly] of PURITANS and O [love]
"
7965,Baffle with incomplete limb (5),STUMP,"Definition: Baffleincomplete limb
Double definition
"
7966,"Folk band turned into premier ethnographic exhibit, for starters (6)",PEOPLE,"Definition: Folk
A reversal [turned] of L[ondon] P[hilharmonic] O[rchestra [‘band’!] in first letters [starters] of Premier] E[thnographic] E[xhibit]
"
7967,"A bird, dropping one animal, returned diving equipment (8)",AQUALUNG,"Definition: diving equipment
A QUA[i]L [a bird, dropping i {one}] + a reversal [returned] of GNU [animal]
"
7968,Philosopher placing article amid pieces of music (7),BARTHES,"Definition: Philosopher
THE [article] in BARS [pieces of music] for philosopher Roland
"
7969,"Snake‘s exhausted, holding soldiers back (7)",SERPENT,"Definition: Snake
SPENT [exhausted] round a reversal [back] of RE [soldiers]
"
7970,Disagree about American electrical apparatus (8),DIFFUSER,"Definition: electrical apparatus
DIFFER [disagree] round US [American]
"
7971,Promise to put piano on shelf (6),PLEDGE,"Definition: Promise
P [piano] + LEDGE [shelf]
"
7972,Be useful to island engulfed by reflux of magma (5),AVAIL,"Definition: Be useful to
I [island] in a reversal [reflux] of LAVA [magma]
"
7973,Eels prove slippery and fail to rise (9),OVERSLEEP,"Definition: fail to rise
Anagram [slippery] of EELS PROVE – loved the surface
"
7974,Slow down born libertine (5),BRAKE,"Definition: Slow down
B [born] + RAKE [libertine]
"
7975,Important person‘s documentation found in here (9),PRESIDENT,"Definition: Important person
ID [documentation] in PRESENT [here]

**Down**
"
7976,Unrefined blades in church (6),COARSE,"Definition: Unrefined
OARS [blades] in CE [Church of England]
"
7977,Set about 30 8 of 18 3? (8),STRUMPET,"Definition: 30 8 of 18 3
SET round TRUMP [President] to give WOMAN of EASY VIRTUE
"
7978,"True vice half-destroyed, surprisingly, by its opposite (6)",VIRTUE,"Definition: its opposite
Anagram [surprisingly] of TRUE VI[ce]
"
7979,"Escape from 5, getting A & E confused (7)",GETAWAY,"Definition: Escape
GATEWAY [portal] with the A and E exchanged
"
7980,Entrance friend eating golden treacle to begin with (6),PORTAL,"Definition: Entrance
PAL [friend] round OR [golden] T[reacle]
"
7981,Squirrel’s introduction to nut curtailed by fish (6),SALMON,"Definition: fish
S[quirrel] + ALMON[d] [nut curtailed]
"
7982,Odoriferous plant secures second trick (4),RUSE,"Definition: trick
RUE [odoriferous plant, in Ophelia’s nosegay – I’ve got Hamlet on the brain today: I was at a screening of ‘Rosencrantz and Guildenstern are dead’ last night] round S [second] –
"
7983,Be thrifty and move on time (6),BUDGET,"Definition: Be thrifty
BUDGE [move] + T [time]
"
7984,Say no to iron getting turned into 11 (6),REFUSE,"Definition: Say no to
A reversal [turned] of FE [iron] in RUSE [11]
"
7985,Requiring little effort to be relaxed (4),EASY,"Definition: Requiring little effortrelaxed
Double definition
"
7986,"Rule out piece of Chopin, say, covering his head (8)",PRECLUDE,"Definition: Rule out
C[hopin] in PRELUDE [piece of Chopin, say]
"
7987,Virtuosic old city set in Spanish coast (7),BRAVURA,"Definition: Virtuosic
UR [the familiar old city] in BRAVA [Spanish coast]
"
7988,Upend fountain erected around the beginning of November (6),INVERT,"Definition: Upend
A reversal [erected] of TREVI [ fountain in Rome] round N[ovember]
"
7989,"Loud, dangerous and full of fun (6)",FRISKY,"Definition: full of fun
F [loud] + RISKY [dangerous]
"
7990,District capital’s hospital (6),PARISH,"Definition: District
PARIS [capital] + H [hospital]
"
7991,Novelist about to infiltrate some DNA (6),GREENE,"Definition: Novelist
RE [about] in GENE [some DNA]
"
7992,A greenkeeper? (15),CONSERVATIONIST,"Doublish / cryptic definition
"
7993,"Explorer or a cool MP, perhaps (5,4)",MARCO POLO,"Definition: Explorer
Anagram [perhaps] of OR A COOL MP
"
7994,Relationship discovered in the maths class (5),RATIO,"Definition: Relationship discovered in the maths class
Cryptic definition
"
7995,Girl to fancy being different (7),UNALIKE,"Definition: different
UNA [girl] + LIKE [fancy]
"
7996,"It makes pepper pot mine, anyhow (7)",PIMENTO,"Definition: It makes pepper
Anagram [anyhow] of POT MINE
"
7997,Born in unending need (3),NEE,"Definition: Born
NEE[d]
"
7998,Best way to secure a crest of hair (7),TOPKNOT,"Definition: crest of hair
TOP [best] KNOT [way to secure]
"
7999,"How supporters reacted to a poor nil-draw? (3,4)",RAN WILD,"Definition: How supporters reacted
Anagram [poor] of NIL-DRAW
"
8000,Trickery that doesn’t amount to much by the sound of it (7),SLEIGHT,"Definition: Trickery
Sounds like ‘slight’ – doesn’t amount to much
"
8001,"Legal or otherwise, it’s a lively movement (7)",ALLEGRO,"Definition: a lively movement
Anagram [otherwise] of LEGAL OR
"
8002,Centre of radiation? (3),HUB,"Definition: Centre of radiation
Cryptic definition – spokes radiate from the hub
"
8003,Coach working on American lines (4-3),RAIL CAR,"Definition: Coach working on American lines
Cryptic definition
"
8004,Line of sight? (7),RETICLE,"Definition: Line of sight?
A new word for me – Collins tells me that it’s ‘a network of fine lines, wires, etc., placed in the local plane of an optical instrument’, so a cryptic definition, I suppose, although, presumably, the clue ought to read ‘lines of sight’
"
8005,Row about right judge? (5),TRIER,"Definition: judge
TIER [row] round R [right]
"
8006,Possibly slips beneath surface of river (9),UNDERWEAR,"Definition: Possibly slips
UNDER [beneath the surface of] WEAR [river in the north east of England] – I liked this one, too
"
8007,"Suspends the outlay, yet doesn’t mind what it costs (5,3,7)",HANGS THE EXPENSE,"Definition: Suspends the outlaydoesn’t mind what it costs
Double definition

**Down**
"
8008,"What an irritated diver must do to make the grade? (4,2,2,7)",COME UP TO SCRATCH,"Definition: make the grade
Amusing cryptic definition
"
8009,Mean to accompany a woman (5),NORMA,"Definition: woman
NORM [mean] + A
"
8010,"Note proposal of love, for example (7)",EMOTION,"Definition: love, for example
E [note] + MOTION [proposal]
"
8011,Not evil — maybe just lacking restraint (7),VIOLENT,"Definition: lacking restraint
Anagram [maybe] of NOT EVIL
"
8012,One expected to swear he’s a soldier (7),TROOPER,"Definition: soldier
Reference to the expression ‘swear like a trooper’
"
8013,Stern-looking sport contestant (7),OARSMAN,"Definition: sport contestant
Cryptic definition – am oarsman would be looking towards the stern
"
8014,Contemplating dining out about ten (9),INTENDING,"Definition: Contemplating
Anagram [out] of DINING round TEN
"
8015,"Unbelievably virtuous? (3,4,2,2,4)",TOO GOOD TO BE TRUE,"Definition: Unbelievably virtuous
Cryptic definition
"
8016,Summary I get on accuracy (9),PRECISION,"Definition: accuracy
PRÉCIS + I + ON
"
8017,A Scot’s impatient expression (3),OCH,"Definition: A Scot’s impatient expression
Cryptic definition – we are intended to think of facial expression
"
8018,Boring point of law (3),AWL,"Definition: Boring point
Anagram [with no indicator] of LAW
"
8019,Cargo transported up small road in small fast vehicles (2-5),GO-CARTS,"Definition: small fast vehicles
Anagram [transported] of CARGO + a reversal [up] of ST [small road]
"
8020,Having finished a boring job? (7),THROUGH,"Definition: Having finished a boring job?
Doublish / cryptic definition
"
8021,Contract that makes a ferryman redundant? (7),ABRIDGE,"Definition: Contract
A BRIDGE makes a ferryman redundant
"
8022,"Fail to catch, or accidentally disclose (3,4)",LET DROP,"Definition: Fail to catchaccidentally disclose
Double definition
"
8023,Broken lance not spotted (5),CLEAN,"Definition: not spotted
Anagram [broken] of LANCE
"
8024,"Fish, carp skinned for old cavalryman (6)",HUSSAR,"Definition: old cavalryman
HUSS [fish – any of various kinds of dogfish, when used as food] + [c]AR[p]
"
8025,"A travesty, fishy fizzy drink? (7)",CHARADE,"Definition: A travesty
CHAR is a fish, so CHARADE, by analogy with lemonade, could be a fishy fizzy drink – one of my favourite clues
"
8026,"Given a flyer, teal fled in a panic carrying first of eggs (9)",LEAFLETED,"Definition: Given a flyer
Anagram [in a panic] of TEAL FLED and E[ggs]
"
8027,Harpoon small fish (5),SPIKE,"Definition: Harpoon
S [small] PIKE [fish]
"
8028,Ray gobbling river fish (5),BREAM,"Definition: fish
BEAM [ray] round R [river]
"
8029,Embellish crypt with this series of art works (9),TRIPTYCHS,"Definition: series of art works
Anagram [embellish] of CRYPT THIS – one of those anagrams that leap out
"
8030,"Fish’s gathered in, a little under a foot (3-4)",TEN-INCH,"Definition: a little under a foot
TENCH [fish] round IN
"
8031,Plastering material to see in face that’s been knocked about (6),GYPSUM,"Definition: Plastering material
A reversal [that’s been knocked about] of SPY [see] in MUG [face]
"
8032,"Communist sticks by workers, wiping brow (6)",ENGELS,"Definition: Communist
[m]EN [workers, minus the first letter – ‘wiping brow’] + GELS [sticks] – another favourite
"
8033, Score in second haul of fish about right (7),SCRATCH,"Definition:  Score
S [second] + CATCH [haul of fish] round R [right]
"
8034,"Smothered in sauce, local appearing put out again (9)",REPUBLISH,"Definition: put out again
PUB [local] in RELISH [sauce]
"
8035,"Obliged to leave, depart finally amid word of appreciation (5)",GOTTA,"Definition: Obliged to
GO [leave] + [depar]T in TA [word of appreciation ] – the cryptic grammar doesn’t** quite** work [it would need to be ‘I’M obliged to’ or ‘I’VE gotta’] but I was thankful enough to [finally] see this not to quibble – not one of my favourite clues, though
"
8036,Cat attack not kicking off (5),POUNCE,"Definition: Cat
[p]OUNCE [attack]
"
8037,"Emin’s back in seaside town, quiet retiring star! (9)",PENTAGRAM,"Definition: star
[emi]N in a reversal [retiring] of MARGATE [seaside town] + P [quiet]
"
8038,Sci-fi fan runs after vacuous Kirk into wood (7),TREKKER,"Definition: Sci-fi fan
R [runs] after K[ir]K in TREE [wood]
"
8039,"Dumped unceremoniously in seat, by the sound of it? (6)",THROWN,"Definition: Dumped unceremoniously
Sounds like ‘throne’ – seat

**Down**
"
8040,Fish — stop to catch one before unhooking heads,HALIBUT,"Definition: Fish
HALT [stop] round I [one] B[efore] U[nhooking] [first letters – heads]
"
8041,"Small fish, rock (5)",SHAKE,"Definition:  rock
S [small] HAKE [fish]
"
8042,Dance laden with male trips (9),ALLEMANDE,"Definition: Dance
Anagram [trips] of LADEN and MALE
"
8043,Pair of fish for an apple (7),CODLING,"Definition: apple
COD LING [pair of fish]
"
8044,Equally prepared for benefit (5),ASSET,"Definition: benefit
AS [equally? – not absolutely sure of this – would like some reassurance] + SET [prepared]
"
8045,Battle where a trap may be tried? (9),AGINCOURT,"Definition: Battle
A GIN COURT could try a gin [trap]
"
8046,"Remarkably English, one side of literature? (4,2)",EVER SO,"Definition: Remarkably
E [English] + VERSO [one side of literature]
"
8047,One’s running — the pain from it? (6),STITCH,"Definition: One’s running the pain from it
Double definition: ‘running’ is a kind of sewing stitch and you get stitch from running – my other joint top favourite: I particularly liked the subtle dual sense of ‘one’s running’ 😉
"
8048,Old coin ending in circulation with European note in particular (9),NINEPENCE,"Definition: Old coin
[circulatio]N + E [European] + PEN [note] in NICE [particular] – I didn’t know there was such a coin and I wondered if that was where we got ‘right as ninepence’: Brewer says, ‘The expression is said to relate to silver ninepenny piece, formerly given as love tokens’
"
8049,"A few lines, silver fish hooks and a perch to be gutted (9)",PARAGRAPH,"Definition: A few lines
PARR [fish – a salmon up to two years old] round [hooks] AG [silver] + A P[ERC]H
"
8050,"Fish, small fish (7)",SKIPPER,"Definition: Fish
S [small – for the fourth time] + KIPPER
"
8051,"Haitian leader buried in revolution, cross beneath it, monolithic statue (6)",SPHINX,"Definition: monolithic statue
H[aitian] in SPIN [revolution] + X [cross]
"
8052,Male parent cracking and failing as a leader,HEADMAN,"Definition: leader
HE [male] + MA [parent] in [cracking] an anagram [failing] of AND
"
8053,"Sample fish, including last of blenny (3,3)",TRY OUT,"Definition: Sample
TROUT [fish] round [blenn]Y which, I found, is another fish: ‘a member of the genus Blennius or related genera of acanthopterygian fishes, usually slimy’
"
8054,Cold fish (5),BLEAK,"Double definition – definitely known from crosswords: ‘a small silvery river fish, whose scales yield a pigment used in making artificial pearls’
"
